Nike                                                                                       ,                            ,             ,                                                    ,                                                                                                    ,                                 ,                   ,                , 
Factory Name                                                                               , Factory Type               , Product Type, Supplier Name                                      , Address                                                                                            , City                            , State             , Postal Code    , Country
PT. Glorystar Wisesa                                                                       , FINISHED GOODS             , Apparel     , GLORYSTAR WISESA                                   , Jl Raya Cirebon Bandung Paningkiran Sumberjaya                                                     , Majalengka                      , Jawa Barat        , 45455          , Indonesia
Bharath (INDIA)                                                                            , FINISHED GOODS - COMPONENTS, Footwear    , BHARATH                                            , No 11 1G                                                                                           , Ranipet                         , Tamil Nadu        , 632401         , India
Long Chuan Simona Footwear Co. Ltd                                                         , FINISHED GOODS             , Footwear    , STELLA                                             , Xin cheng Long Chuan                                                                               , HeYuan                          , Guangdong         , 517300         , China
Cassia Garment Company Limited                                                             , FINISHED GOODS             , Apparel     , RAMATEX                                            , 287 289 Suksawad 30 Suksawad Road Bangpakok                                                        , Rathjaburana                    , Bangkok           , 10140          , Thailand
Iruna Comunicacion Textil - SERISUR                                                        , FINISHED GOODS             , Apparel     , IRUNA                                              , Poligono Industrial La Rosa V                                                                      , Chauchina-Granada               , Andalucía         , 18330          , Spain
Minone Enterprises Co Ltd                                                                  , FINISHED GOODS             , Equipment   , MINONE                                             , 253 MOO 6 NONGBOT SUBDISTRICT                                                                      , NANGRONG                        , Buri Ram          , 31110          , Thailand
MAS FABRICS (PRIVATE) LIMITED – INTIMO DIVISION                                            , MATERIALS                  , Apparel     , MAS HOLDINGS                                       , MAS Fabric Park                                                                                    , Thulhiriya                      , Kurunegala        , 71610          , Sri Lanka
TUNTEX SOC TRANG VIETNAM CO.LTD                                                            , FINISHED GOODS             , Apparel     , TUNTEX                                             , "OT H, AN NGHIEP INDUSTRIAL ZONE, AN HIEP WARD"                                                    , Soc Trang                       , Sóc Trang         , 95000          , Vietnam
TEIJIN CORDLEY LTD (TAIWAN OKAHATA CO LTD) (JAPAN)                                         , MATERIALS                  , Footwear    , TEIJIN CORDLEY                                     , 1 446 NAGAHISA NAGAHISA CHO OHDA                                                                   , Shimane                         , Simane            , 693-0007       , Japan
PT. TKG TAEKWANG INDONESIA                                                                 , FINISHED GOODS             , Footwear    , TAEKWANG                                           , Belendung II RT 17 RW 06                                                                           , "Belendung, Cibogo"             , Jawa Barat        , 41285          , Indonesia
"Universal Sporting Goods (Thai) Co., Ltd."                                                , FINISHED GOODS             , Apparel     , UNIVERSAL                                          , 91 Moo 1 Petchakasern Rd Soi Wattheintad T Banmai                                                  , samphan                         , Nakhon Pathom     , 73110          , Thailand
"VIETNAM CHINGLUH SHOES CO.,LTD - VINH LONG BRANCH II"                                     , FINISHED GOODS             , Footwear    , CHING LUH                                          , HOA PHU INDUSTRIAL PARK                                                                            , LONG HO DISTRICT                , Vinh Long         , 890000         , Vietnam
"M.I.I.T. CO., LTD"                                                                        , FINISHED GOODS             , Apparel     , M.I.I.T. CO                                        , 30 9 Moo 1                                                                                         , Mueang Samutsakhon              , Samut Sakhon      , 74000          , Thailand
M S STYLE TEXTILE (PVT.) LIMITED (SUNDER) - unit VI                                        , FINISHED GOODS             , Apparel     , STYLE TEXTILE                                      , PLOT NO 143 to 146 and 151 to 155                                                                  , Lahore                          , Punjab            , 53801          , Pakistan
ARTFX INC.                                                                                 , FINISHED GOODS             , Apparel     , TEGRA                                              , 3801 E Princess Anne Rd.                                                                           , Norfolk                         , Virginia          , 23502          , USA
VIET THINH GARMENT JOINT STOCK COMPANY                                                     , FINISHED GOODS             , Apparel     , SOUTH ISLAND                                       , 58 Thoai Ngoc Hau street                                                                           , HO CHI MINH                     , Ho Chi Minh       , 84             , Vietnam
National Emblem Wang Chu Embroidery Co.                                                    , FINISHED GOODS - COMPONENTS, Apparel     , NATIONAL EMBLEM                                    , 5F  No 3  Aly 11 Ln  327                                                                           , New Taipei City                 , New Taipei        , Zhonge District, Taiwan
PT. Feng Tay Indonesia Enterprises                                                         , FINISHED GOODS             , Footwear    , FENG TAY                                           , Jl Raya Banjaran Km 14 6                                                                           , Bandung                         , Jawa Barat        , 40376          , Indonesia
"Nantong Golden Yuelai Gym Equipment Co., Ltd"                                             , FINISHED GOODS             , Equipment   , NANTONG GOLDEN                                     , No 76 Xincheng Road                                                                                , Haimen                          , Jiangsu           , 226131         , China
"Haivina Co., Ltd."                                                                        , FINISHED GOODS             , Equipment   , HAIVINA                                            , Lang Xuyen village                                                                                 , Hai Duong province              , Hi Duong          , 170000         , Vietnam
Hoosier Manufacturing - HM4                                                                , FINISHED GOODS             , Apparel     , INDIANA KNITWEAR                                   , Km 28 and 5 Carretera al Pacifico                                                                  , Bodegas GC                      , Guatemala         , 1063           , Guatemala
"FASHION GARMENTS 2 CO., LTD. - TAN PHU BRANCH"                                            , FINISHED GOODS             , Apparel     , FASHION GARMENTS                                   , Street 3 Tan Phu Industrial Zone Tan Phu District                                                  , Tan Phu                         , Ðng Nai           , 76800          , Vietnam
ANNIC II S.A.                                                                              , FINISHED GOODS             , Apparel     , GILDAN                                             , Las Palmeras Industrial Park                                                                       , Masatepe                        , Managua           , 42600          , Nicaragua
"FASHION GARMENTS 2 CO., LTD"                                                              , FINISHED GOODS             , Apparel     , HIRDARAMANI                                        , "Lot 4, Road 13A, Bien Hoa Industrial Zone 2, Long Binh Ward"                                      , Bien Hoa                        , Ðng Nai           , 810000         , Vietnam
PT. Grand Best Indonesia                                                                   , FINISHED GOODS             , Apparel     , TUNTEX                                             , Jl Coaster No 8 Blok B 18 19 20 21 22                                                              , SEMARANG                        , Jawa Tengah       , 50174          , Indonesia
"ENPING E-MART ENTERPRISE CO., LTD.,"                                                      , MATERIALS                  , Footwear    , COSMOPOLITAN TEXTILE                               , Liu Jia Song Industrial Park Dahuai Town                                                           , Enping City                     , Guangdong         , 529467         , China
Chang Tai Song Lin Woven Belt Co. LTD                                                      , MATERIALS                  , Apparel     , CHI YANG RIBBON                                    , Xin Tai Industrial Zone                                                                            , Zhang Zhou                      , Fujian            , 363900         , China
SHAN BEEN JEOU INDUSTRIAL CO LTD (TAIWAN)                                                  , MATERIALS                  , Footwear    , SHAN BEEN                                          , NO 60 LANE 132 SHA TIAN ROAD SECTION 2 DA DU DISTRICT                                              , Taichung                        , Taichung          , 43244          , Taiwan
"YKK VIETNAM CO., LTD"                                                                     , MATERIALS                  , Apparel     , YKK                                                , Lot 10 N2 Road Nhon Trach III Industrial Zone  Phase 2                                             , Nhon Trach                      , Ðng Nai           , 810000         , Vietnam
"Qingdao Qien Sporting Goods Co.,Ltd"                                                      , FINISHED GOODS             , Equipment   , QINGDAO QIEN                                       , Number 8 Yanghui Road                                                                              , Qingdao                         , Shandong          , 266232         , China
"YieChang Industrial Co., Ltd."                                                            , FINISHED GOODS             , Equipment   , YIECHONG                                           , No 389 Shuiyuan Rd  Fengyuan Dist                                                                  , Taichung                        , Taichung          , 420076         , Taiwan
GOLD LONG JOHN (INDONESIA)                                                                 , FINISHED GOODS - COMPONENTS, Footwear    , GOLD LONG JOHN                                     , Jl Raya Batujajar KM 3 5 desa giriasih                                                             , Kecamatan Batujajar             , Jawa Barat        , 40561          , Indonesia
PT. Gelindo Garmentama                                                                     , FINISHED GOODS             , Apparel     , EAGLE NICE                                         , Jalan Cangkuang Kulon No 38                                                                        , Bandung                         , Jawa Barat        , 40239          , Indonesia
RS/Tupa Ind. De Plastico Ltda                                                              , FINISHED GOODS - COMPONENTS, Footwear    , RS TUPA INDUSTRIA DE PLASTICOS                     , "Rua Ivo Johann, 10"                                                                               , Novo Hamburgo                   , Rio Grande do Sul , 93546640       , Brazil
"Chuzhou Korrun Future Luggage Products Co., Ltd"                                          , FINISHED GOODS             , Equipment   , FORMOSA                                            , 1 Building  No 708 Huizhou North Road                                                              , Chuzhou                         , Anhui             , 239000         , China
"Pro Kingtex Vietnam Co., Ltd"                                                             , FINISHED GOODS             , Apparel     , EAGLE NICE                                         , D10/89 Q National High Way 1A Tan Tao Ward Binh Tan District                                       , HO CHI MINH CITY                , Ho Chi Minh       , 700000         , Vietnam
Nan Yang Garment                                                                           , FINISHED GOODS             , Apparel     , NAN YANG                                           , 37 Moo 5 Ladyao Banrai Rd                                                                          , Ladyao Nakhonsawan              , Nakhon Sawan      , 60150          , Thailand
PT Batang Apparel Indonesia                                                                , FINISHED GOODS             , Apparel     , ONTIDE                                             , Nanom Desa Wringin Gintung Kecamatan                                                               , Batang                          , Jawa Tengah       , 51261          , Indonesia
BAIKSAN (CHINA)                                                                            , MATERIALS                  , Footwear    , BAIKSAN                                            , No 4 Industrial West Road                                                                          , Dongguan                        , Guangdong         , 523950         , China
R. A. INTERTRADING S. A.                                                                   , FINISHED GOODS             , Apparel     , RA INTERTRADING                                    , JOSE IGNACIO RUCCI 3951                                                                            , CAPITAL FEDERAL                 , Buenos Aires      , C1439FVQ       , Argentina
Fairway Enterprises Company Limited (India Branch)                                         , FINISHED GOODS             , Footwear    , FENG TAY                                           , Ms  Fairway Enterprises Company Limited  Unit I                                                    , Krishnagiri                     , Tamil Nadu        , 635304         , India
TKG TAEKWANG VINA JOINT STOCK COMPANY BRANCH 2                                             , FINISHED GOODS             , Footwear    , TAEKWANG                                           , KCN Agtex Long Binh                                                                                , Bien Hoa                        , Ðng Nai           , 70000          , Vietnam
PMI Joinease plastic & metal products                                                      , FINISHED GOODS             , Equipment   , PMI JOINEASE                                       , Mutoutan Group No 2 Lizhidun Villiage                                                              , Hui Zhou                        , Guangdong         , 516131         , China
TKG ECO MATERIAL SYNTHETIC (VIETNAM)                                                       , MATERIALS                  , Footwear    , TKG ECO MATERIAL                                   , Lot 45 18 02 Road N14 Phuoc Dong Industrial Park                                                   , Tay Ninh                        , Tây Ninh          , 840000         , Vietnam
Ningbo Shenzhou Knitting Co. Ltd                                                           , FINISHED GOODS             , Apparel     , SHENZHOU                                           , 50 TianMuShan Road                                                                                 , Ningbo                          , Zhejiang          , 315800         , China
Southern Apparel Contractors S.A. The Arena                                                , FINISHED GOODS             , Apparel     , TEGRA                                              , ZOLI INHDELVA SPS El Guanal                                                                        , San Pedro Sula                  , Cortés            , 21103          , Honduras
"JIAXING KANAAN BAG R&D CO.,LTD"                                                           , FINISHED GOODS             , Equipment   , KANAAN                                             , Industrial Zone Qixing Town Nanhu District                                                         , Jiaxiang                        , Zhejiang          , 314002         , China
GB LIGHT CO LTD                                                                            , MATERIALS                  , Footwear    , GB LIGHT                                           , 22 Beombang 3ro 30beon gil                                                                         , Gangseo Gu                      , Busan Gwangyeogsi , 46727          , South Korea
"AROMA SUCCESS GARMENT CO., LTD"                                                           , FINISHED GOODS             , Apparel     , SABRINA                                            , Taing Kantout Village                                                                              , Phnom Penh                      , Kampong Spueu     , 50107          , Cambodia
RJ Liebe Athletic Lettering Co.                                                            , FINISHED GOODS             , Apparel     , RJ LIEBE ATHLETIC LETTERING                        , 582 Goddard Ave                                                                                    , Chesterfield                    , Missouri          , 63005          , USA
Redwall                                                                                    , FINISHED GOODS             , Apparel     , REDWALL                                            , 7655 S 6th St                                                                                      , Oak Creek                       , Wisconsin         , 53154          , USA
Ortholite India Pvt Ltd.                                                                   , FINISHED GOODS - COMPONENTS, Footwear    , ORTHOLITE                                          , S F No 31/3  32/1  32/2  32/3  35/1A  35/1B  35/3A 35/4A1  35/4A2  36/3 & 41/3  Somalapuram Village, AMBUR                           , Tamil Nadu        , 635802         , India
"JiangSu HongBao Sporting Goods Co., Ltd."                                                 , FINISHED GOODS             , Equipment   , YEGIN                                              , No 3 Building ShangShui Industry                                                                   , HuaiAn                          , Jiangsu           , 223400         , China
SAMBU FINE CHEMICAL CO LTD (VIETNAM)                                                       , FINISHED GOODS - COMPONENTS, Footwear    , SAMBU FINE CHEMICAL                                , Dong Xoai1 Industrial Park                                                                         , Tan Thanh Commune Dong Xoai City, Bình Phuc         , 67108          , Vietnam
"Jiangsu Asian Sourcing Headwear MFG. CO., Ltd"                                            , FINISHED GOODS             , Apparel     , ASIAN SOURCING HEADWEAR                            , No  2 South Guangzhou Road                                                                         , Huai An                         , Jiangsu           , 223005         , China
Regent Garment Factory Ltd                                                                 , FINISHED GOODS             , Apparel     , CRYSTAL                                            , KCN Lai Vu  H Kim Thanh T Hai Duong                                                                , Hai Duong                       , Hi Duong          , 170000         , Vietnam
MAS KREEDA  Vaanavil                                                                       , FINISHED GOODS             , Apparel     , MAS HOLDINGS                                       , Plot No 2 Agriculture Faculty Road                                                                 , Kilinochchi                     , Kilinochchi       , 42000          , Sri Lanka
"Changzhou Qingqing Knitted Textile Co., Ltd."                                             , MATERIALS                  , Apparel     , DECOR                                              , 80 Xingbiao North Rd  Zhiqian Town Jintan District                                                 , Changzhou                       , Jiangsu           , 213234         , China
AHP APPARELS PVT.LTD. UNIT 61                                                              , FINISHED GOODS             , Apparel     , SHAHI                                              , SY NO 34 35 37 A TO 37H                                                                            , "SHIKARIPURA, SHIVAMOGGA"       , Karnataka         , 577427         , India
PT Lucky Textile Semarang Demak                                                            , FINISHED GOODS             , Apparel     , TUNTEX                                             , Dukuh Tegalrejo RT 001 RW 002                                                                      , Demak                           , Jawa Tengah       , 59571          , Indonesia
HUBEI TOP EAGLE GARMENT LTD.                                                               , FINISHED GOODS             , Apparel     , NICE APPAREL                                       , EAST INDUSTRIAL PARK ECONOMIC DVELOPMENT ZONE                                                      , Songzi Hubei                    , Hubei             , 434200         , China
Style Textile (Pvt) Limited (QIE)                                                          , FINISHED GOODS             , Apparel     , STYLE TEXTILE                                      , 126 by 3 Industrial Area  Kot Lakhpat                                                              , Lahore                          , Punjab            , 54770          , Pakistan
SHINTA WOOSUNG PT (INDONESIA)                                                              , MATERIALS                  , Footwear    , SHINTA WOOSUNG                                     , JL RAYA KOPO MAJA KM 1                                                                             , Serang                          , Banten            , 42100          , Indonesia
LELABPLUS                                                                                  , FINISHED GOODS             , Apparel     , LELAB                                              , 1 bis rue Jean le Galleu                                                                           , Ivry sur Seine                  , Île-de-France     , 94200          , France
"Guangdong Glory textile Enterprise Co., Ltd."                                             , MATERIALS                  , Footwear    , HARVEST GLORY                                      , Heping Xiacuo Industrial Park                                                                      , Shantou                         , Guangdong         , 515154         , China
"DONGGUAN JINGSHENG GARMENTS CO.,LTD"                                                      , FINISHED GOODS             , Apparel     , CRYSTAL                                            , Building 3 No 6 Wanfeng Road                                                                       , Dongguan                        , Guangdong         , 523570         , China
SP Apparel Inc.                                                                            , FINISHED GOODS             , Apparel     , SP APPAREL                                         , 6935 rue Picard                                                                                    , St-Hyacinthe                    , Quebec            , J2S 1H3        , Canada
You Young                                                                                  , FINISHED GOODS - COMPONENTS, Footwear    , YOU YOUNG                                          , 14 Sinsan ro                                                                                       , Busan                           , Busan Gwangyeogsi , 49432          , South Korea
ADORA FOOTWEAR LIMITED                                                                     , FINISHED GOODS             , Footwear    , HUALI                                              , TAM DIEP INDUSTRY ZONE                                                                             , Ninh Binh Province              , Ninh Bình         , 430000         , Vietnam
League Optical(Zhongshan) Workshop Limited                                                 , FINISHED GOODS             , Equipment   , ARTS OPTICAL                                       , Yaguan building 3                                                                                  , Zhongshan                       , Guangdong         , 528463         , China
"Oregon Screen Impressions, Inc."                                                          , FINISHED GOODS             , Apparel     , OREGON SCREEN IMPRESSIONS                          , 3580 NE Broadway                                                                                   , Portland                        , Oregon            , 97232          , USA
"SHENZHEN PENGYIFA INDUSTRIAL CO, LTD"                                                     , FINISHED GOODS             , Apparel     , SHENZHEN PENGYIFA                                  , 2ND FLOOR BUILDING A                                                                               , SHENZHEN GUANGMING DISTRICT     , Guangdong         , 518107         , China
"ZheJiang Clis Fashion Co., Ltd."                                                          , FINISHED GOODS             , Apparel     , ZHEJIANG XIANCHEN IMPORT AND EXPORT                , No 10 Bldg No 39 Xiangyuan Road                                                                    , Hangzhou                        , Zhejiang          , 310012         , China
TNG Investment and Trading JSC - Dai Tu Garment Branch                                     , FINISHED GOODS             , Apparel     , TNG                                                , Tien Hoi Commune Dai Tu District Thai Nguyen Province                                              , Thai Nguyen                     , Thái Nguyên       , 240000         , Vietnam
HUAFENG HAPTIC                                                                             , FINISHED GOODS - COMPONENTS, Footwear    , HUA FENG TEXTILE                                   , "GF Building D10, Hua Feng Sporting Goods Industrial Park"                                         , Putian                          , Fujian            , 351144         , China
"Zao Zhuang RuiXing Shoes Co., Ltd"                                                        , FINISHED GOODS             , Footwear    , CHANGSHIN                                          , No3 FuXing East Road Economic Development Zone                                                     , Zaozhuang City                  , Shandong          , 277300         , China
TRIMCO GROUP (ZHEJIANG) CO LTD                                                             , FINISHED GOODS - COMPONENTS, Apparel     , TRIMCO GROUP                                       , No 236 Xin Lang Road                                                                               , Yu Yao City                     , Zhejiang          , 315480         , China
"HI-TECH APPAREL CO.,LTD. (SUPANBURI BRANCH)"                                              , FINISHED GOODS             , Apparel     , HI TECH                                            , 295 MOO 1 TAMBOL DONKAMYAN                                                                         , Suphanburi                      , Suphan Buri       , 72000          , Thailand
"YongZhou Kaixiang Shoetown Footwear Co., Ltd. NOT A FINISHED GOODS FACILITY"              , FINISHED GOODS - COMPONENTS, Footwear    , SHOETOWN                                           , "#421, Dongxin Road, BaiyashiTown"                                                                 , Yongzhou                        , Hunan             , 425900         , China
Blue Ridge Designs LLC                                                                     , FINISHED GOODS             , Apparel     , BLUE RIDGE DESIGNS                                 , 358 INDUSTRIAL PARK DRIVE                                                                          , HILLSVILLE                      , Virginia          , 24343          , USA
"Brandix Apparel Solutions (Pvt) Limited – Essentials, Batticaloa"                         , FINISHED GOODS             , Apparel     , BRANDIX ASIA HOLDINGS                              , 449 New Kalmunai Road Aryampathy Batticaloa                                                        , Batticaloa                      , Batticaloa        , 30000          , Sri Lanka
FOOTMARK CAMBODIA CORPORATION                                                              , FINISHED GOODS             , Apparel     , FOOTMARK                                           , Sangkat Kantouk  Khan Posencey                                                                     , Phnom Penh                      , Kandaal           , 12101          , Cambodia
Vietnam Weilina Footwear Co. Ltd                                                           , FINISHED GOODS             , Footwear    , HUALI                                              , Vuc Phac Village                                                                                   , Yen Dinh District               , Thanh Hóa         , 44000          , Vietnam
SEYANG CORPORATION VIETNAM                                                                 , FINISHED GOODS             , Apparel     , SEYANG                                             , "PLOT NO. 54, NHAT TAN INDUSTRIAL COMPLEX, NHAT TAN COMMUNE,"                                      , KIMBANG DISTRICT                , Hà Nam            , 400000         , Vietnam
"SeoHeung Co., Ltd. (3D Printer Center)"                                                   , MATERIALS                  , Footwear    , SEOHEUNG                                           , 87 JangnimBeonyeong ro                                                                             , Busan                           , Busan Gwangyeogsi , 49464          , South Korea
Fanatics Licensed Sports Group                                                             , FINISHED GOODS             , Apparel     , FANATICS                                           , 2320 Newlins Mill Rd                                                                               , Easton                          , Pennsylvania      , 18045          , USA
"All Wells International Co., Ltd."                                                        , FINISHED GOODS             , Footwear    , SPORTS GEAR                                        , 81 Road Toc Tien Commune Phu My Town                                                               , Phu My                          , Bà Ra - Vung Tàu  , 790000         , Vietnam
Germton Industrial Company Ltd.                                                            , FINISHED GOODS             , Apparel     , GERMTON                                            , Dong Que Son IP Huong An  Que Son  Quang Nam Province                                              , Huong An Town                   , Qung Nam          , 560000         , Vietnam
Fashion Garments Company Limited                                                           , FINISHED GOODS             , Apparel     , FASHION GARMENTS                                   , Tam Thang Industrial Zone                                                                          , TAMKY                           , Qung Nam          , 51100          , Vietnam
"HI TECH APPAREL CO LTD, BRANCH 70"                                                        , FINISHED GOODS             , Apparel     , HI TECH                                            , 5 18 Soi suksawat                                                                                  , Bangkru                         , Samut Prakan      , 10130          , Thailand
Tiong Liong Vietnam (ZHONGJU INDUSTRIAL COMPANY)                                           , MATERIALS                  , Footwear    , TIONG LIONG GROUP                                  , VIETNAM ZHONGJU INDUSTRIAL COMPANY LIMITED                                                         , Bau Bang District               , Bình Duong        , 75700          , Vietnam
CHI YANG RIBBON                                                                            , MATERIALS                  , Apparel     , CHI YANG RIBBON                                    , NO219 Guan Hai BLVD Bali district                                                                  , New Taipei                      , New Taipei        , 249            , Taiwan
HUNG LONG GARMENT AND SERVICE JOINT STOCK COMPANY                                          , FINISHED GOODS             , Apparel     , HUNG LONG GARMENT                                  , NGUYEN VAN LINH STREET                                                                             , MY HAO                          , Hung Yên          , 17000          , Vietnam
